호선명,지하철역,무임승차인원,무임하차인원,작업일자
경인선,중동,76438,75523,20190603
경인선,부평,162125,167872,20190603
경인선,구일,43838,43485,20190603
경인선,도화,42576,41756,20190603
경인선,개봉,176017,183270,20190603
경의선,가좌,51454,52116,20190603
경의선,운정,38656,37187,20190603
경의선,디지털미디어시티,10074,10100,20190603
경의선,문산,52021,52102,20190603
경의선,금릉,28316,27892,20190603
경의선,효창공원앞,15817,17589,20190603
경의선,수색,15621,15682,20190603
경의선,홍대입구,6553,7371,20190603
경의선,파주,9960,8236,20190603
경의선,야당,31300,30527,20190603
경의선,금촌,52009,52771,20190603
경의선,김포공항,0,0,20190603
경의선,곡산,5975,6013,20190603
경의선,월롱,9091,10084,20190603
경의선,일산,64498,65337,20190603
경의선,화전,10782,10534,20190603
경의선,능곡,35379,35081,20190603
경의선,계양,1,0,20190603
경의선,디지털미디어시티,0,0,20190603
경의선,검암,0,0,20190603
경의선,행신,39524,40034,20190603
경의선,서울역,16881,20647,20190603
경의선,서울역,0,0,20190603
경의선,강매,18999,18348,20190603
경의선,백마,36537,36108,20190603
경의선,풍산,36383,35615,20190603
경의선,탄현,42702,41542,20190603
경의선,공덕,14189,13783,20190603
경의선,서강대,11274,10376,20190603
경의선,신촌,4111,4947,20190603
경원선,동두천중앙,46651,47260,20190603
경원선,광운대,59697,59357,20190603
경원선,응봉,19540,18384,20190603
경원선,지행,51755,51223,20190603
경원선,동두천,22655,34610,20190603
경원선,방학,119761,118180,20190603
경원선,회룡,163176,163226,20190603
경원선,덕계,21192,19852,20190603
경원선,도봉,77922,77381,20190603
경원선,신이문,74168,72802,20190603
경원선,녹천,44870,40998,20190603
경원선,도봉산,117554,94781,20190603
경원선,이촌(국립중앙박물관),32349,26739,20190603
경원선,왕십리(성동구청),68089,73542,20190603
경원선,옥수,123,96,20190603
경원선,서빙고,18175,17654,20190603
경원선,양주,67775,65313,20190603
경원선,의정부,136743,138989,20190603
경원선,가능,67416,65779,20190603
경원선,보산,15739,14950,20190603
경원선,월계,66339,63385,20190603
경원선,덕정,40027,40900,20190603
경원선,청량리(서울시립대입구),169144,176338,20190603
경원선,망월사,80500,82520,20190603
경원선,외대앞,52169,51004,20190603
경원선,한남,36759,34264,20190603
경원선,녹양,40263,37971,20190603
경원선,소요산,93043,78526,20190603
경원선,석계,72240,76744,20190603
경원선,창동,0,0,20190603
경부선,서동탄,11144,10289,20190603
경부선,군포,38499,36903,20190603
경부선,직산,6658,6383,20190603
경부선,세마,17776,16560,20190603
경부선,지제,9053,9035,20190603
경부선,수원,167727,177313,20190603
경부선,가산디지털단지,36391,39946,20190603
경부선,의왕,45394,44912,20190603
경부선,화서,50066,50240,20190603
경부선,병점,70030,69533,20190603
경부선,금천구청,89413,90057,20190603
경부선,신길,52270,48140,20190603
경부선,신도림,26648,29872,20190603
경부선,남영,41442,43788,20190603
경부선,노량진,45325,40721,20190603
경부선,영등포,307864,307842,20190603
경부선,서울역,14715,2647,20190603
경부선,천안,62677,61442,20190603
경부선,용산,147723,148189,20190603
경부선,석수,54820,52020,20190603
경부선,대방,78126,78476,20190603
경부선,세류,20339,20214,20190603
경부선,진위,9191,8817,20190603
경부선,금정,120633,122275,20190603
경부선,송탄,27317,26679,20190603
경부선,서정리,28344,27859,20190603
경부선,성균관대,58310,58862,20190603
경부선,광명,8230,6708,20190603
경부선,명학,48560,48637,20190603
경부선,두정,25112,25771,20190603
경부선,안양,129062,131705,20190603
경부선,오산,49315,49885,20190603
경부선,관악,63172,62049,20190603
경부선,오산대,19140,18486,20190603
경부선,구로,105591,102342,20190603
경부선,독산,70925,74149,20190603
경부선,당정,33560,32683,20190603
경부선,평택,75273,73335,20190603
경부선,성환,23828,23552,20190603
경강선,경기광주,30051,30265,20190603
경강선,곤지암,15816,15864,20190603
경강선,이매,7620,7192,20190603
경강선,신둔도예촌,7679,7276,20190603
경강선,이천,14886,15796,20190603
경강선,판교,14743,11776,20190603
경강선,세종대왕릉,3851,4083,20190603
경강선,초월,13886,13594,20190603
경강선,여주,19835,19437,20190603
경강선,부발,7641,7329,20190603
경강선,삼동,11091,10678,20190603
9호선2~3단계,종합운동장,20759,17270,20190603
9호선2~3단계,중앙보훈병원,64843,65287,20190603
9호선2~3단계,봉은사,55496,52784,20190603
9호선2~3단계,삼전,31255,30715,20190603
9호선2~3단계,한성백제,13460,11685,20190603
9호선2~3단계,올림픽공원(한국체대),23546,24124,20190603
9호선2~3단계,송파나루,23180,23605,20190603
9호선2~3단계,선정릉,25599,26348,20190603
9호선2~3단계,언주,27257,26900,20190603
9호선2~3단계,석촌고분,31710,31310,20190603
9호선2~3단계,석촌,30256,24672,20190603
9호선2~3단계,삼성중앙,24673,24499,20190603
9호선2~3단계,둔촌오륜,6062,5997,20190603
